,card_name,card_rarity,card_number,market_price,median_price
4004,Stunfisk,Common,46,0.08,0.20
4005,Super Scoop Up,Uncommon,66,0.10,0.25
4006,Switch,Uncommon,67,0.45,0.28
4007,Torkoal,Common,11,0.10,0.21
4008,Torracat,Common,16,0.11,0.20
4009,Totodile,Common,18,0.25,0.25
4010,Ultra Ball,Uncommon,68,0.60,0.41
4011,Venusaur,Uncommon,3,1.02,1.00
4012,Virizion,Holo Rare,8,0.39,
4013,Volcarona,Uncommon,13,0.13,0.25
4014,Voltorb,Common,30,0.10,0.20
4015,Warp Energy,Uncommon,70,0.13,0.25
4016,Yveltal,Holo Rare,54,0.40,
4017,Zekrom,Holo Rare,35,0.37,
4018,Zoroark GX,Ultra Rare,53,2.38,
4019,Zoroark GX (Secret),Secret Rare,77,24.62,
4020,Zorua,Common,52,0.16,0.25
4021,Acerola,Uncommon,112,0.24,0.25
4022,Acerola (Full Art),Ultra Rare,142,25.90,
4023,Alolan Grimer,Common,83,0.07,0.20
4024,Alolan Muk GX,Ultra Rare,84,1.93,
4025,Alolan Muk GX (Full Art),Ultra Rare,138,3.00,
4026,Alolan Muk GX (Secret),Secret Rare,157,9.99,
4027,Alolan Ninetales,Rare,28,0.43,0.49
4028,Alolan Raticate,Rare,82,0.15,0.25
4029,Alolan Rattata,Common,81,0.10,0.20
4030,Alolan Vulpix,Common,27,0.16,0.20
4031,Araquanid,Rare,15,0.17,0.25
4032,Azumarill,Rare,35,0.22,0.30
4033,Bewear,Rare,111,0.12,0.29
4034,Bodybuilding Dumbbells,Uncommon,113,0.14,0.25
4035,Bodybuilding Dumbbells (Secret),Secret Rare,161,5.14,
4036,Bouffalant,Uncommon,108,0.14,0.25
4037,Bruxish,Rare,38,0.15,0.25
4038,Butterfree,Rare,3,0.25,0.29
4039,Caterpie,Common,1,0.10,0.20
4040,Charizard GX,Ultra Rare,20,11.45,
4041,Charizard GX (Secret),Secret Rare,150,427.33,
4042,Charmander,Common,18,0.15,0.25
4043,Charmeleon,Uncommon,19,0.11,0.25
4044,Choice Band (Secret),Secret Rare,162,6.02,
4045,Crabominable,Rare,74,0.16,0.26
4046,Crabrawler,Common,73,0.08,0.20
4047,Croagunk,Common,54,0.09,0.20
4048,Cutiefly,Common,95,0.10,0.20
4049,Darkness Energy (Secret),Secret Rare,168,48.30,
4050,Darkrai,Holo Rare,87,0.43,
4051,Darkrai GX,Ultra Rare,88,2.37,
4052,Darkrai GX (Full Art),Ultra Rare,139,5.45,
4053,Darkrai GX (Secret),Secret Rare,158,26.74,
4054,Dewpider,Common,14,0.07,0.16
4055,Diancie,Holo Rare,94,0.35,
4056,Dusclops,Uncommon,52,0.12,0.20
4057,Dusknoir,Holo Rare,53,0.30,
4058,Duskull,Common,51,0.09,0.20
4059,Eelektrik,Uncommon,45,0.11,0.24
4060,Eelektross,Rare,46,0.17,0.29
4061,Electabuzz,Uncommon,42,0.14,0.24
4062,Electivire,Rare,43,0.21,0.30
4063,Escape Rope,Uncommon,114,0.20,0.25
4064,Escape Rope (Secret),Secret Rare,163,26.89,
4065,Espurr,Common,59,0.05,0.20
4066,Fairy Energy (Secret),Secret Rare,169,48.03,
4067,Fire Energy (Secret),Secret Rare,167,29.65,
4068,Gardevoir GX,Ultra Rare,93,2.45,
4069,Gardevoir GX (Full Art),Ultra Rare,140,5.40,
4070,Gardevoir GX (Secret),Secret Rare,159,19.23,
4071,Gloom,Uncommon,5,0.12,0.25
4072,Golisopod GX,Ultra Rare,17,1.50,
4073,Golisopod GX (Full Art),Ultra Rare,129,2.72,
4074,Golisopod GX (Secret),Secret Rare,148,8.61,
4075,Guzma,Uncommon,115,0.67,0.63
4076,Guzma (Full Art),Ultra Rare,143,13.80,
4077,Gyarados,Holo Rare,33,0.82,
4078,Heatmor,Uncommon,24,0.10,0.23
4079,Heracross,Rare,11,0.23,0.30
4080,Ho-Oh GX,Ultra Rare,21,2.28,
4081,Ho-Oh GX (Full Art),Ultra Rare,131,8.14,
4082,Hoothoot,Common,106,0.10,0.20
4083,Horsea,Common,29,0.11,0.20
4084,Inkay,Common,89,0.08,0.20
4085,Kiawe,Uncommon,116,0.19,0.25
4086,Kiawe (Full Art),Ultra Rare,144,8.11,
4087,Kingdra,Holo Rare,31,0.41,
4088,Kirlia,Uncommon,92,0.17,0.25
4089,Lana,Uncommon,117,0.12,0.25
4090,Ledian,Rare,10,0.16,0.27
4091,Ledyba,Common,9,0.09,0.20
4092,Lucario,Holo Rare,71,0.41,
4093,Lunatone,Uncommon,68,0.06,0.25
4094,Lycanroc (75),Holo Rare,75,0.37,
4095,Lycanroc (76),Rare,76,0.21,0.26
4096,Lycanroc GX (Full Art),Ultra Rare,136,3.68,
4097,Lycanroc GX (Secret),Secret Rare,155,13.70,
4098,Machamp GX,Ultra Rare,64,2.44,
4099,Machamp GX (Full Art),Ultra Rare,135,3.96,
4100,Machamp GX (Secret),Secret Rare,154,15.76,
4101,Magikarp,Common,32,0.14,0.20
4102,Malamar,Rare,90,0.17,0.30
4103,Marill,Common,34,0.13,0.20
4104,Marshadow GX,Ultra Rare,80,2.06,
4105,Marshadow GX (Full Art),Ultra Rare,137,3.54,
4106,Marshadow GX (Secret),Secret Rare,156,14.23,
4107,Meowstic,Rare,60,0.17,0.25
4108,Meowth,Common,101,0.08,0.20
4109,Metapod,Uncommon,2,0.10,0.24
4110,Morelull,Common,97,0.08,0.20
4111,Mount Lanakila,Uncommon,118,0.09,0.25
4112,Mudbray,Common,77,0.05,0.19
4113,Mudsdale,Rare,78,0.17,0.29
4114,Multi Switch (Secret),Secret Rare,164,4.16,
4115,Necrozma GX,Ultra Rare,63,1.60,
4116,Necrozma GX (Full Art),Ultra Rare,134,2.97,
4117,Necrozma GX (Secret),Secret Rare,153,10.77,
4118,Noctowl,Uncommon,107,0.10,0.24
4119,Noibat,Common,109,0.09,0.20
4120,Noivern GX,Ultra Rare,99,1.84,
4121,Noivern GX (Full Art),Ultra Rare,141,3.92,
4122,Noivern GX (Secret),Secret Rare,160,11.79,
4123,Oddish,Common,4,0.12,0.20
4124,Olivia,Uncommon,119,0.10,0.25
4125,Palossand,Holo Rare,62,0.26,
4126,Panpour,Common,36,0.08,0.20
4127,Pansage,Common,12,0.07,0.20
4128,Pansear,Common,22,0.06,0.18
4129,Passimian,Rare,79,0.16,0.25
4130,Persian,Rare,102,0.16,0.30
4131,Pikachu,Common,40,0.21,0.25
4132,Plumeria,Uncommon,120,0.10,0.25
4133,Plumeria (Full Art),Ultra Rare,145,10.56,
4134,Po Town,Uncommon,121,0.10,0.25
4135,Porygon,Common,103,0.12,0.20
4136,Porygon2,Uncommon,104,0.12,0.24
4137,Porygon-Z,Holo Rare,105,0.36,
4138,Raichu,Holo Rare,41,0.56,
4139,Ralts,Common,91,0.13,0.21
4140,Rescue Stretcher (Secret),Secret Rare,165,6.89,
4141,Rhydon,Uncommon,66,0.13,0.25
4142,Rhyhorn,Common,65,0.07,0.20
4143,Rhyperior,Holo Rare,67,0.32,
4144,Ribombee,Uncommon,96,0.13,0.22
4145,Riolu,Common,70,0.11,0.19
4146,Rotom Dex Poke Finder Mode,Uncommon,122,0.11,0.25
4147,Salazzle GX,Ultra Rare,25,1.59,
4148,Salazzle GX (Full Art),Ultra Rare,132,3.23,
4149,Salazzle GX (Secret),Secret Rare,151,10.30,
4150,Sandygast,Common,61,0.08,0.20
4151,Sawk,Common,72,0.05,0.20
4152,Scolipede,Rare,58,0.21,0.29
4153,Seadra,Uncommon,30,0.12,0.24
4154,Seviper,Uncommon,50,0.14,0.25
4155,Shiinotic,Rare,98,0.21,0.25
4156,Simipour,Uncommon,37,0.05,0.22
4157,Simisage,Uncommon,13,0.08,0.21
4158,Simisear,Uncommon,23,0.09,0.20
4159,Slowking,Rare,48,0.22,0.26
4160,Sneasel,Common,85,0.10,0.20
4161,Solrock,Uncommon,69,0.10,0.20
4162,Sophocles,Uncommon,123,0.11,0.25
4163,Sophocles (Full Art),Ultra Rare,146,6.61,
4164,Stufful,Common,110,0.07,0.20
4165,Super Scoop Up,Uncommon,124,0.11,0.25
4166,Super Scoop Up (Secret),Secret Rare,166,5.17,
4167,Tangela,Common,7,0.07,0.15
4168,Tangrowth,Rare,8,0.19,0.29
4169,Tapu Bulu GX (Full Art),Ultra Rare,130,4.11,
4170,Tapu Bulu GX (Secret),Secret Rare,149,9.39,
4171,Tapu Fini GX,Ultra Rare,39,1.44,
4172,Tapu Fini GX (Full Art),Ultra Rare,133,3.10,
4173,Tapu Fini GX (Secret),Secret Rare,152,10.58,
4174,Togedemaru,Common,47,0.08,0.19
4175,Tormenting Spray,Uncommon,125,0.08,0.22
4176,Toxicroak,Rare,55,0.19,0.25
4177,Turtonator,Rare,26,0.21,0.30
4178,Tynamo,Common,44,0.09,0.20
4179,Venipede,Common,56,0.11,0.20
4180,Vileplume,Holo Rare,6,0.55,
4181,Weakness Policy,Uncommon,126,0.15,0.25
4182,Weavile,Rare,86,0.17,0.26
4183,Whirlipede,Uncommon,57,0.10,0.20
4184,Wicke,Uncommon,127,0.08,0.25
4185,Wicke (Full Art),Ultra Rare,147,27.16,
4186,Wimpod,Common,16,0.09,0.20
4187,Wishful Baton,Uncommon,128,0.30,0.25
4188,Wobbuffet,Uncommon,49,0.14,0.24
4189,Zygarde,Holo Rare,100,0.29,
4190,Aegislash EX,Promo,65a,2.99,
4191,Alolan Exeggutor,Promo,2a,0.48,
4192,Alolan Sandshrew - 19a/145,Common,19a/145,1.07,
4193,Alolan Vulpix - 21a,Common,21a,1.74,
4194,Altaria,Holo Rare,40a,0.62,
4195,Blacksmith,Promo,88a,9.65,
4196,Charmander,Common,18a,2.38,
4197,Darkrai GX,Promo,88a,2.38,
4198,Dedenne GX - 195a/214,Promo,195a/214,3.67,
4199,Delinquent - 98a/122,Promo,98a/122,0.63,0.99
4200,Delinquent - 98b/122 (Full Art),Promo,98b/122,15.79,
4201,Eevee - 101a,Promo,101a,7.49,
4202,Entei GX,Promo,10a,2.97,
4203,Feraligatr - 17/119 (Cosmos Holo),Promo,17/119,1.21,
4204,Garbodor - 51a/145 (Cosmos Holo),Promo,51a,1.35,
4205,Guzzlord GX,Promo,63a,4.72,
4206,Heatran - 88/156 (Alternate Art Promo),Promo,88/156,2.30,
4207,Hex Maniac,Promo,75a,14.08,
4208,Jirachi,Promo,XY67a,27.78,
4209,Jirachi GX,Promo,79a/236,5.18,
4210,Jolteon EX,Promo,28a,11.30,
4211,Karen,Promo,XY177a,23.50,
4212,Kirlia - 92a/147,Promo,92a,0.40,
4213,M Camerupt EX,Promo,XY198a,3.27,
4214,M Lucario EX,Promo,55a,17.15,
4215,M Manectric EX,Promo,24a,4.71,
4216,M Sharpedo EX - XY200a,Promo,XY200a,3.78,
4217,Metagross GX - 157a/145,Promo,157a/145,26.74,
4218,N (Supporter) - 105a/124,Promo,105a/124,33.55,
4219,Oshawott - 27/114 (Cosmos Holo),Promo,27/114,10.75,
4220,Pokegear 3.0 - 182b/214,Promo,182b/214,0.23,0.25
4221,Pokemon Communication - 152b/181,Promo,152b/181,0.65,0.49
4222,Porygon-Z - 105a/147,Promo,105a/147,0.56,
4223,Professor Sycamore - 107a/122 (Holofoil),Promo,107a/122,1.14,
4224,Professor Sycamore - 107a/122 (Non-Holo),Promo,107a/122,0.87,1.39
4225,Professor's Letter - 146a/162,Promo,146a/162,0.88,1.08
4226,Rayquaza GX - 177a/168,Promo,177a/168,69.58,
4227,Regigigas - 84a/111,Promo,84a/111,2.06,
4228,Regirock EX,Promo,43a,4.05,
4229,Reset Stamp - 206a/236,Promo,206a/236,0.20,0.25
4230,Sceptile - 10a/168,Promo,10a/168,0.48,
4231,Shauna,Promo,111a,27.28,
4232,Shaymin EX - 77a/108,Promo,77a/108,19.71,
4233,Sightseer - 189a/214 (Battle Arena Deck Exclusive),Uncommon,189a/214,0.48,0.69
4234,Sylveon GX - 92a/145,Promo,92a/145,3.63,
4235,Tapu Fini GX - 39a/147,Promo,39a/147,2.87,
4236,Tapu Koko - SM30a,Promo,SM30a,1.63,
4237,Tapu Lele GX - 60a/145,Promo,60a/145,8.31,
4238,Tate & Liza - 148a/168 (Battle Arena Deck Exclusive),Uncommon,148a/168,0.79,0.79
4239,Team Flare Grunt - 73a/83,Promo,73a/83,6.51,
4240,Togepi & Cleffa & Igglybuff GX,Promo,143a/236,15.85,
4241,Trainers' Mail (Holo) - 92a/108,Promo,92a/108,1.40,
4242,Trainers' Mail (Non-Holo) - 92a/108,Promo,92a/108,1.35,1.65
4243,Umbreon - 120/214,Promo,120/214,5.66,
4244,Yveltal EX - XY150a,Promo,XY150a,18.29,
4245,Zoroark GX - 77a/73,Promo,77a/73,23.34,
4246,Zygarde EX - 54a/124,Promo,54a/124,5.44,
4247,Absol,Holo Rare,81,0.50,
4248,Aether Paradise Conservation Area,Uncommon,116,0.19,0.25
4249,Alolan Geodude,Common,40,0.07,0.21
4250,Alolan Golem,Holo Rare,42,0.36,
4251,Alolan Graveler,Uncommon,41,0.08,0.24
4252,Alolan Ninetales GX,Ultra Rare,22,2.59,
4253,Alolan Ninetales GX (Full Art),Ultra Rare,132,9.35,
4254,Alolan Ninetales GX (Secret),Secret Rare,150,24.41,
4255,Alolan Sandshrew,Common,19,0.10,0.20
4256,Alolan Sandslash,Rare,20,0.25,0.28
4257,Alolan Vulpix,Common,21,0.24,0.25
4258,Alomomola,Uncommon,36,0.12,0.24
4259,Altar of the Moone,Uncommon,117,0.17,0.25
4260,Altar of the Sunne,Uncommon,118,0.11,0.25
4261,Aqua Patch,Uncommon,119,0.20,0.25
4262,Aqua Patch (Secret),Secret Rare,161,5.94,
4263,Barboach,Common,70,0.07,0.21
4264,Beldum,Common,83,0.11,0.21
4265,Bellsprout,Common,1,0.10,0.20
4266,Bewear,Uncommon,113,0.09,0.24
4267,Blissey,Holo Rare,102,0.45,
4268,Brooklet Hill,Uncommon,120,0.21,0.25
4269,Carvanha,Common,27,0.08,0.20
4270,Castform,Common,105,0.08,0.23
4271,Chandelure,Holo Rare,13,0.41,
4272,Chansey,Common,101,0.08,0.22
4273,Choice Band,Uncommon,121,0.33,0.32
4274,Clefable,Uncommon,89,0.09,0.23
4275,Clefairy,Common,88,0.07,0.20
4276,Comfey,Holo Rare,93,0.47,
4277,Cottonee,Common,90,0.10,0.20
4278,Decidueye GX (Secret),Secret Rare,146,18.56,
4279,Delibird,Common,26,0.10,0.20
4280,Dhelmise,Holo Rare,59,0.37,
4281,Double Colorless Energy (Secret),Secret Rare,166,29.76,
4282,Drampa,Holo Rare,97,0.46,
4283,Drampa GX,Ultra Rare,115,2.02,
4284,Drampa GX (Full Art),Ultra Rare,142,2.65,
4285,Drampa GX (Secret),Secret Rare,160,8.25,
4286,Energy Loto,Uncommon,122,0.19,0.25
4287,Energy Recycler,Uncommon,123,0.24,0.25
4288,Enhanced Hammer,Uncommon,124,0.16,0.25
4289,Enhanced Hammer (Secret),Secret Rare,162,6.79,
4290,Field Blower,Uncommon,125,0.23,0.25
4291,Field Blower (Secret),Secret Rare,163,8.40,
4292,Fighting Energy (Secret),Secret Rare,169,30.58,
4293,Fletchinder,Uncommon,110,0.09,0.20
4294,Fletchling,Common,109,0.09,0.20
4295,Garbodor,Rare,51,0.25,0.30
4296,Glalie,Uncommon,32,0.11,0.25
4297,Gligar,Common,67,0.07,0.21
4298,Gliscor,Uncommon,68,0.09,0.25
4299,Golisopod,Holo Rare,9,0.41,
4300,Goodra,Holo Rare,96,0.45,
4301,Goomy,Common,94,0.10,0.20
4302,Gothita,Common,52,0.08,0.20
4303,Gothitelle,Rare,54,0.21,0.30
4304,Gothorita,Uncommon,53,0.10,0.21
4305,Grass Energy (Secret),Secret Rare,167,28.92,
4306,Hakamo-o,Uncommon,99,0.11,0.22
4307,Hala,Uncommon,126,0.10,0.25
4308,Hala (Full Art),Ultra Rare,143,4.89,
4309,Hau (Full Art),Ultra Rare,144,12.28,
4310,Heliolisk,Rare,44,0.18,0.30
4311,Helioptile,Common,43,0.07,0.21
4312,Honchkrow,Rare,79,0.21,0.30
4313,Incineroar GX (Secret),Secret Rare,147,19.47,
4314,Jangmo-o,Common,98,0.09,0.20
4315,Komala,Uncommon,114,0.10,0.23
4316,Kommo-o GX,Ultra Rare,100,2.86,
4317,Kommo-o GX (Full Art),Ultra Rare,141,3.15,
4318,Kommo-o GX (Secret),Secret Rare,159,11.97,
4319,Lampent,Uncommon,12,0.11,0.22
4320,Lightning Energy (Secret),Secret Rare,168,32.80,
4321,Lilligant,Rare,5,0.22,0.31
4322,Litwick,Common,11,0.07,0.20
4323,Lunala,Rare,61,0.32,0.35
4324,Lycanroc GX,Ultra Rare,74,2.67,
4325,Lycanroc GX (Full Art),Ultra Rare,138,3.34,
4326,Lycanroc GX (Secret),Secret Rare,156,18.61,
4327,Machamp,Holo Rare,65,0.44,
4328,Machoke,Uncommon,64,0.12,0.24
4329,Machop (62),Common,62,0.09,0.20
4330,Machop (63),Common,63,0.09,0.20
4331,Mallow,Uncommon,127,0.19,0.25
4332,Mallow (Full Art),Ultra Rare,145,22.25,
4333,Mareanie,Uncommon,39,0.11,0.22
4334,Max Potion,Uncommon,128,0.25,0.25
4335,Max Potion (Secret),Secret Rare,164,9.55,
4336,Metagross GX,Ultra Rare,85,2.21,
4337,Metagross GX (Full Art),Ultra Rare,139,4.38,
4338,Metagross GX (Secret),Secret Rare,157,23.29,
4339,Metang,Uncommon,84,0.13,0.25
4340,Mimikyu,Holo Rare,58,0.72,
4341,Minior,Holo Rare,77,0.48,
4342,Mudbray,Common,75,0.08,0.20
4343,Mudsdale,Holo Rare,76,0.35,
4344,Multi Switch,Uncommon,129,0.08,0.24
4345,Murkrow,Common,78,0.09,0.20
4346,Nosepass,Common,69,0.10,0.20
4347,Oricorio (14),Rare,14,0.23,0.33
4348,Oricorio (46),Rare,46,0.20,0.29
4349,Oricorio (55),Rare,55,0.22,0.28
4350,Oricorio (56),Rare,56,0.21,0.25
4351,Pancham,Common,72,0.08,0.20
4352,Pangoro,Rare,82,0.19,0.30
4353,Patrat,Common,107,0.06,0.25
4354,Petilil,Common,4,0.09,0.20
4355,Phantump,Common,6,0.08,0.20
4356,Politoed,Holo Rare,25,0.44,
4357,Primarina GX (Secret),Secret Rare,149,12.32,
4358,Probopass,Rare,86,0.20,0.30
4359,Rare Candy (Secret),Secret Rare,165,22.53,
4360,Rayquaza,Rare,106,0.44,0.44
4361,Rescue Stretcher,Uncommon,130,0.30,0.28
4362,Rockruff,Common,73,0.09,0.20
4363,Sableye,Uncommon,80,0.09,0.24
4364,Salandit,Common,15,0.08,0.20
4365,Salazzle,Rare,16,0.20,0.33
4366,Sharpedo,Rare,28,0.21,0.33
4367,Sliggoo,Uncommon,95,0.11,0.22
4368,Slowbro,Uncommon,49,0.19,0.25
4369,Slowpoke,Common,48,0.11,0.20
4370,Snorunt,Common,31,0.11,0.20
4371,Solgaleo,Rare,87,0.34,0.35
4372,Stufful,Common,112,0.09,0.20
4373,Sudowoodo,Uncommon,66,0.15,0.25
4374,Swellow,Rare,104,0.19,0.29
4375,Sylveon GX,Ultra Rare,92,6.19,
4376,Sylveon GX (Full Art),Ultra Rare,140,19.06,
4377,Sylveon GX (Secret),Secret Rare,158,52.26,
4378,Taillow,Common,103,0.07,0.20
4379,Talonflame,Rare,111,0.23,0.30
4380,Tapu Koko GX,Ultra Rare,47,2.42,
4381,Tapu Koko GX (Full Art),Ultra Rare,135,4.77,
4382,Tapu Koko GX (Secret),Secret Rare,153,17.61,
4383,Tapu Lele GX,Ultra Rare,60,8.65,
4384,Tapu Lele GX (Full Art),Ultra Rare,137,11.07,
4385,Tapu Lele GX (Secret),Secret Rare,155,18.61,
4386,Tentacool,Common,23,0.11,0.20
4387,Tentacruel,Uncommon,24,0.12,0.25
4388,Toxapex GX,Ultra Rare,57,2.01,
4389,Toxapex GX (Full Art),Ultra Rare,136,2.83,
4390,Toxapex GX (Secret),Secret Rare,154,10.49,
4391,Trevenant,Rare,7,0.22,0.29
4392,Trubbish,Common,50,0.17,0.20
4393,Turtonator,Rare,17,0.21,0.30
4394,Turtonator GX,Ultra Rare,18,2.20,
4395,Turtonator GX (Full Art),Ultra Rare,131,3.93,
4396,Turtonator GX (Secret),Secret Rare,148,9.23,
4397,Vanillish,Uncommon,34,0.09,0.20
4398,Vanillite,Common,33,0.11,0.20
4399,Vanilluxe,Rare,35,0.19,0.30
4400,Victini,Holo Rare,10,0.47,
4401,Victreebel,Rare,3,0.23,0.30
4402,Vikavolt GX,Ultra Rare,45,1.61,
4403,Vikavolt GX (Full Art),Ultra Rare,134,2.90,
4404,Vikavolt GX (Secret),Secret Rare,152,10.13,
4405,Wailmer,Common,29,0.11,0.20
4406,Wailord,Rare,30,0.24,0.35
4407,Watchog,Uncommon,108,0.09,0.24
4408,Weepinbell,Uncommon,2,0.13,0.23
4409,Whimsicott,Uncommon,91,0.10,0.20
4410,Whiscash,Rare,71,0.23,0.28
4411,Wimpod,Common,8,0.09,0.20
4412,Wishiwashi,Common,37,0.08,0.20
4413,Wishiwashi GX,Ultra Rare,38,1.84,
4414,Wishiwashi GX (Full Art),Ultra Rare,133,3.19,
4415,Wishiwashi GX (Secret),Secret Rare,151,10.03,
4416,Alolan Raichu (#17 Non-Holo),Uncommon,17,0.25,0.25
4417,Alolan Raichu (#30 Holofoil),Uncommon,30,1.63,
4418,Bewear,Uncommon,18,0.15,0.15
4419,Big Malasada,Common,27,0.18,0.20
4420,Caterpie,Common,1,0.35,0.28
4421,Drowzee,Common,22,0.15,0.18
4422,Fighting Energy (#10),Common,10,0.17,0.23
4423,Fighting Energy (#17),Common,17,0.15,0.23
4424,Fighting Energy (#2),Common,2,0.15,0.23
4425,Fighting Energy (#20),Common,20,0.15,0.20
4426,Fighting Energy (#24),Common,24,0.20,0.20
4427,Fighting Energy (#26),Common,26,0.20,0.20
4428,Fighting Energy (#28),Common,28,0.15,0.20
4429,Fighting Energy (#3),Common,3,0.15,0.23
4430,Fighting Energy (#5),Common,5,0.15,0.20
4431,Fighting Energy (#6),Common,6,0.15,0.23
4432,Fighting Energy (#7),Common,7,0.15,0.23
4433,Fighting Energy (#8),Common,8,0.15,0.20
4434,Fighting Energy (#9),Common,9,0.15,0.20
4435,Fletchinder,Uncommon,13,0.15,0.15
4436,Fletchling,Common,11,0.37,0.30
4437,Golbat,Uncommon,6,0.28,0.25
4438,Great Ball (#21) (Alolan Raichu Half-Deck),Common,21,0.15,0.25
4439,Great Ball (#21) (Lycanroc Half-Deck),Common,21,0.18,0.25
4440,Great Ball (#25) (Alolan Raichu Half-Deck),Common,25,0.18,0.25
4441,Great Ball (#25) (Lycanroc Half-Deck),Common,25,0.15,0.25
4442,Grubbin,Common,16,0.26,0.43
4443,Hau (#19) (Alolan Raichu Half-Deck),Common,19,0.17,0.25
4444,Hau (#19) (Lycanroc Half-Deck),Common,19,0.15,0.25
4445,Hau (#23) (Alolan Raichu Half-Deck),Common,23,0.15,0.23
4446,Hau (#23) (Lycanroc Half-Deck),Common,23,0.15,0.20
4447,Lightning Energy (#1),Common,1,0.15,0.23
4448,Lightning Energy (#10),Common,10,0.15,0.20
4449,Lightning Energy (#12),Common,12,0.20,0.23
4450,Lightning Energy (#2),Common,2,0.15,0.23
4451,Lightning Energy (#3),Common,2,0.15,0.23
4452,Lightning Energy (#5),Common,5,0.15,0.20
4453,Lightning Energy (#7),Common,7,0.15,0.20
4454,Lightning Energy (#8),Common,8,0.15,0.23
4455,Lightning Energy (#9),Common,9,0.15,0.23
4456,Lycanroc (#16 Non-Holo),Uncommon,16,0.15,0.20
4457,Lycanroc (#30 Holofoil),Uncommon,30,0.25,
4458,Makuhita,Common,18,0.15,0.23
4459,Pikachu (#14),Common,14,1.82,2.99
4460,Pikachu (#29),Common,29,0.57,0.66
4461,Pikipek,Common,15,0.15,0.15
4462,Potion,Common,15,0.23,0.25
4463,Psychic Energy (#20),Common,20,0.15,0.20
4464,Psychic Energy (#24),Common,24,0.15,0.23
4465,Psychic Energy (#27),Common,27,0.15,0.20
4466,Psychic Energy (#28),Common,28,0.15,0.23
4467,Rockruff (#14),Common,14,0.23,0.23
4468,Rockruff (#29),Common,29,0.29,0.30
4469,Spearow,Common,13,0.15,0.15
4470,Stufful,Common,4,0.15,0.20
4471,Togedemaru,Common,26,0.18,0.15
4472,Toucannon,Uncommon,22,0.46,0.45
4473,Trumbeak,Uncommon,4,0.18,0.22
4474,Yungoos,Common,12,0.15,0.15
4475,Zubat,Common,11,0.15,0.15
4476,Alolan Diglett,Common,86,0.08,0.20
4477,Alolan Dugtrio,Holo Rare,87,0.36,
4478,Alolan Grimer,Common,57,0.07,0.20
4479,Alolan Meowth,Common,78,0.11,0.20
4480,Alolan Muk,Holo Rare,58,0.82,
4481,Alolan Persian,Uncommon,79,0.14,0.25
4482,Alolan Raticate,Uncommon,77,0.09,0.25
4483,Alolan Rattata,Common,76,0.11,0.20
4484,Araquanid,Uncommon,46,0.08,0.20
4485,Arcanine,Holo Rare,22,1.02,
4486,Bewear,Rare,112,0.16,0.25
4487,Big Malasada,Uncommon,114,0.10,0.25
4488,Boldore,Uncommon,70,0.09,0.25
4489,Bounsweet,Common,18,0.07,0.20
4490,Brionne,Uncommon,40,0.11,0.25
4491,Bruxish,Rare,48,0.20,0.25
4492,Butterfree,Rare,3,0.20,0.25
4493,Carvanha,Common,81,0.10,0.20
4494,Caterpie,Common,1,0.08,0.20
4495,Charjabug,Uncommon,51,0.13,0.21
4496,Chinchou,Common,49,0.08,0.17
4497,Cloyster,Rare,34,0.17,0.25
4498,Corsola,Uncommon,36,0.10,0.21
4499,Cosmoem,Rare,65,0.24,0.25
4500,Cosmog,Common,64,0.12,0.20
4501,Crabominable,Rare,43,0.20,0.25
4502,Crabrawler,Common,72,0.07,0.18
4503,Crobat,Holo Rare,56,0.46,
4504,Crushing Hammer,Uncommon,115,0.67,0.67
4505,Cutiefly,Common,92,0.08,0.19
4506,Darkness Energy (2017 Unnumbered),Common,,0.07,0.20
4507,Dartrix,Uncommon,10,0.14,0.25
4508,Decidueye,Rare,11,0.28,0.28
4509,Decidueye GX,Ultra Rare,12,2.07,
4510,Dewpider,Common,45,0.08,0.16
4511,Double Colorless Energy,Uncommon,136,0.62,0.50
4512,Dragonair,Uncommon,95,0.15,0.25
4513,Dragonite,Holo Rare,96,1.69,
4514,Dratini,Common,94,0.10,0.20
4515,Drowzee,Common,59,0.09,0.20
4516,Eevee,Common,101,0.31,0.28
4517,Energy Retrieval,Uncommon,116,0.20,0.25
4518,Energy Switch,Uncommon,117,0.18,0.25
4519,Espeon GX,Ultra Rare,61,2.78,
4520,Espeon GX (Full Art),Ultra Rare,140,11.94,
4521,Espeon GX (Secret),Secret Rare,152,34.05,
4522,Exp. Share,Uncommon,118,0.19,0.25
4523,Fairy Energy (2017 Unnumbered),Common,,0.10,0.16
4524,Fearow,Common,98,0.09,0.15
4525,Fighting Energy (2017 Unnumbered),Common,,0.06,0.10
4526,Fire Energy (2017 Unnumbered),Common,,0.08,0.13
4527,Fomantis,Common,14,0.10,0.20
4528,Gigalith,Holo Rare,71,0.38,
4529,Golbat,Uncommon,55,0.09,0.24
4530,Golduck,Rare,29,0.17,0.25
4531,Granbull,Uncommon,91,0.09,0.25
4532,Grass Energy (2017 Unnumbered),Common,,0.07,0.15
4533,Great Ball,Uncommon,119,0.20,0.25
4534,Growlithe,Common,21,0.08,0.20
4535,Grubbin,Common,13,0.09,0.20
4536,Gumshoos GX,Ultra Rare,110,1.23,
4537,Gumshoos GX (Full Art),Ultra Rare,145,2.35,
4538,Gumshoos GX (Secret),Secret Rare,157,7.56,
4539,Hariyama,Rare,68,0.20,0.25
